,Sample,Population
3322,NA20588,Europe
3323,NA20589,Europe
3324,NA20752,Europe
3325,NA20753,Europe
3326,NA20754,Europe
3327,NA20755,Europe
3328,NA20756,Europe
3329,NA20757,Europe
3330,NA20758,Europe
3331,NA20759,Europe
3332,NA20760,Europe
3333,NA20761,Europe
3334,NA20762,Europe
3335,NA20763,Europe
3336,NA20764,Europe
3337,NA20765,Europe
3338,NA20766,Europe
3339,NA20767,Europe
3340,NA20768,Europe
3341,NA20769,Europe
3342,NA20770,Europe
3343,NA20771,Europe
3344,NA20772,Europe
3345,NA20773,Europe
3346,NA20774,Europe
3347,NA20775,Europe
3348,NA20778,Europe
3349,NA20783,Europe
3350,NA20785,Europe
3351,NA20786,Europe
3352,NA20787,Europe
3353,NA20790,Europe
3354,NA20792,Europe
3355,NA20795,Europe
3356,NA20796,Europe
3357,NA20797,Europe
3358,NA20798,Europe
3359,NA20799,Europe
3360,NA20800,Europe
3361,NA20801,Europe
3362,NA20802,Europe
3363,NA20803,Europe
3364,NA20804,Europe
3365,NA20805,Europe
3366,NA20806,Europe
3367,NA20807,Europe
3368,NA20808,Europe
3369,NA20809,Europe
3370,NA20810,Europe
3371,NA20811,Europe
3372,NA20812,Europe
3373,NA20813,Europe
3374,NA20814,Europe
3375,NA20815,Europe
3376,NA20816,Europe
3377,NA20818,Europe
3378,NA20819,Europe
3379,NA20821,Europe
3380,NA20822,Europe
3381,NA20826,Europe
3382,NA20827,Europe
3383,NA20828,Europe
3384,NA20829,Europe
3385,NA20831,Europe
3386,NA20832,Europe
3387,NA20845,NorthAmerica
3388,NA20846,NorthAmerica
3389,NA20847,NorthAmerica
3390,NA20849,NorthAmerica
3391,NA20850,NorthAmerica
3392,NA20851,NorthAmerica
3393,NA20852,NorthAmerica
3394,NA20853,NorthAmerica
3395,NA20854,NorthAmerica
3396,NA20856,NorthAmerica
3397,NA20858,NorthAmerica
3398,NA20859,NorthAmerica
3399,NA20861,NorthAmerica
3400,NA20862,NorthAmerica
3401,NA20863,NorthAmerica
3402,NA20864,NorthAmerica
3403,NA20866,NorthAmerica
3404,NA20867,NorthAmerica
3405,NA20868,NorthAmerica
3406,NA20869,NorthAmerica
3407,NA20870,NorthAmerica
3408,NA20871,NorthAmerica
3409,NA20872,NorthAmerica
3410,NA20873,NorthAmerica
3411,NA20874,NorthAmerica
3412,NA20875,NorthAmerica
3413,NA20876,NorthAmerica
3414,NA20877,NorthAmerica
3415,NA20878,NorthAmerica
3416,NA20879,NorthAmerica
3417,NA20881,NorthAmerica
3418,NA20882,NorthAmerica
3419,NA20883,NorthAmerica
3420,NA20884,NorthAmerica
3421,NA20885,NorthAmerica
3422,NA20886,NorthAmerica
3423,NA20887,NorthAmerica
3424,NA20888,NorthAmerica
3425,NA20889,NorthAmerica
3426,NA20890,NorthAmerica
3427,NA20891,NorthAmerica
3428,NA20892,NorthAmerica
3429,NA20893,NorthAmerica
3430,NA20894,NorthAmerica
3431,NA20895,NorthAmerica
3432,NA20896,NorthAmerica
3433,NA20897,NorthAmerica
3434,NA20898,NorthAmerica
3435,NA20899,NorthAmerica
3436,NA20900,NorthAmerica
3437,NA20901,NorthAmerica
3438,NA20902,NorthAmerica
3439,NA20903,NorthAmerica
3440,NA20904,NorthAmerica
3441,NA20905,NorthAmerica
3442,NA20906,NorthAmerica
3443,NA20907,NorthAmerica
3444,NA20908,NorthAmerica
3445,NA20909,NorthAmerica
3446,NA20910,NorthAmerica
3447,NA20911,NorthAmerica
3448,NA21086,NorthAmerica
3449,NA21087,NorthAmerica
3450,NA21088,NorthAmerica
3451,NA21089,NorthAmerica
3452,NA21090,NorthAmerica
3453,NA21091,NorthAmerica
3454,NA21092,NorthAmerica
3455,NA21093,NorthAmerica
3456,NA21094,NorthAmerica
3457,NA21095,NorthAmerica
3458,NA21097,NorthAmerica
3459,NA21098,NorthAmerica
3460,NA21099,NorthAmerica
3461,NA21100,NorthAmerica
3462,NA21101,NorthAmerica
3463,NA21102,NorthAmerica
3464,NA21103,NorthAmerica
3465,NA21104,NorthAmerica
3466,NA21105,NorthAmerica
3467,NA21106,NorthAmerica
3468,NA21107,NorthAmerica
3469,NA21108,NorthAmerica
3470,NA21109,NorthAmerica
3471,NA21110,NorthAmerica
3472,NA21111,NorthAmerica
3473,NA21112,NorthAmerica
3474,NA21113,NorthAmerica
3475,NA21114,NorthAmerica
3476,NA21115,NorthAmerica
3477,NA21116,NorthAmerica
3478,NA21117,NorthAmerica
3479,NA21118,NorthAmerica
3480,NA21119,NorthAmerica
3481,NA21120,NorthAmerica
3482,NA21121,NorthAmerica
3483,NA21122,NorthAmerica
3484,NA21123,NorthAmerica
3485,NA21124,NorthAmerica
3486,NA21125,NorthAmerica
3487,NA21126,NorthAmerica
3488,NA21127,NorthAmerica
3489,NA21128,NorthAmerica
3490,NA21129,NorthAmerica
3491,NA21130,NorthAmerica
3492,NA21133,NorthAmerica
3493,NA21134,NorthAmerica
3494,NA21135,NorthAmerica
3495,NA21137,NorthAmerica
3496,NA21141,NorthAmerica
3497,NA21142,NorthAmerica
3498,NA21143,NorthAmerica
3499,NA21144,NorthAmerica
